symbol,name,sector,bse_security_code,bse_industry
ASIANPAINT.BO,Asian Paints Limited,Basic Materials,500820,Consumer Durables
ULTRACEMCO.BO,UltraTech Cement Limited,Basic Materials,532538,Construction Materials
JSWSTEEL.BO,JSW Steel Limited,Basic Materials,500228,Metals & Mining
TATASTEEL.BO,Tata Steel Limited,Basic Materials,500470,Metals & Mining
HINDZINC.BO,Hindustan Zinc Limited,Basic Materials,500188,Metals & Mining
PIDILITIND.BO,Pidilite Industries Limited,Basic Materials,500331,Chemicals
GRASIM.BO,Grasim Industries Limited,Basic Materials,500300,Construction Materials
HINDALCO.BO,Hindalco Industries Limited,Basic Materials,500440,Metals & Mining
AMBUJACEM.BO,Ambuja Cements Limited,Basic Materials,500425,Construction Materials
VEDL.BO,Vedanta Limited,Basic Materials,500295,Metals & Mining
SHREECEM.BO,Shree Cement Limited,Basic Materials,500387,Construction Materials
JINDALSTEL.BO,Jindal Steel & Power Limited,Basic Materials,532286,Metals & Mining
BERGEPAINT.BO,Berger Paints India Limited,Basic Materials,509480,Consumer Durables
SRF.BO,SRF Limited,Basic Materials,503806,Chemicals
PIIND.BO,PI Industries Limited,Basic Materials,523642,Chemicals
UPL.BO,UPL Limited,Basic Materials,512070,Chemicals
APLAPOLLO.BO,APL Apollo Tubes Limited,Basic Materials,533758,Capital Goods
LINDEINDIA.BO,Linde India Limited,Basic Materials,523457,Chemicals
SAIL.BO,Steel Authority of India Limited,Basic Materials,500113,Metals & Mining
DALBHARAT.BO,Dalmia Bharat Limited,Basic Materials,542216,Construction Materials
SOLARINDS.BO,Solar Industries India Limited,Basic Materials,532725,Chemicals
ACC.BO,ACC Limited,Basic Materials,500410,Construction Materials
JSL.BO,Jindal Stainless Limited,Basic Materials,532508,Metals & Mining
NMDC.BO,NMDC Limited,Basic Materials,526371,Metals & Mining
FLUOROCHEM.BO,Gujarat Fluorochemicals Limited,Basic Materials,542812,Chemicals
COROMANDEL.BO,Coromandel International Limited,Basic Materials,506395,Chemicals
KANSAINER.BO,Kansai Nerolac Paints Limited,Basic Materials,500165,Consumer Durables
TATACHEM.BO,Tata Chemicals Limited,Basic Materials,500770,Chemicals
JKCEMENT.BO,J.K. Cement Limited,Basic Materials,532644,Construction Materials
NAVINFLUOR.BO,Navin Fluorine International Limited,Basic Materials,532504,Chemicals
BAYERCROP.BO,Bayer CropScience Limited,Basic Materials,506285,Chemicals
SUMICHEM.BO,Sumitomo Chemical India Limited,Basic Materials,542920,Chemicals
RAMCOCEM.BO,The Ramco Cements Limited,Basic Materials,500260,Construction Materials
ATUL.BO,Atul Ltd,Basic Materials,500027,Chemicals
VINATIORGA.BO,Vinati Organics Limited,Basic Materials,524200,Chemicals
RATNAMANI.BO,Ratnamani Metals & Tubes Limited,Basic Materials,520111,Capital Goods
NATIONALUM.BO,National Aluminium Company Limited,Basic Materials,532234,Metals & Mining
AARTIIND.BO,Aarti Industries Limited,Basic Materials,524208,Chemicals
HINDCOPPER.BO,Hindustan Copper Limited,Basic Materials,513599,Metals & Mining
CLEAN.BO,Clean Science and Technology Limited,Basic Materials,543318,Chemicals
LLOYDSME.BO,Lloyds Metals and Energy Limited,Basic Materials,512455,Metals & Mining
AETHER.BO,Aether Industries Limited,Basic Materials,543534,Chemicals
FINEORG.BO,Fine Organic Industries Limited,Basic Materials,541557,Chemicals
CENTURYPLY.BO,Century Plyboards (India) Limited,Basic Materials,532548,Consumer Durables
DCMSHRIRAM.BO,DCM Shriram Limited,Basic Materials,523367,Diversified
KIOCL.BO,KIOCL Limited,Basic Materials,540680,Metals & Mining
AKZOINDIA.BO,Akzo Nobel India Limited,Basic Materials,500710,Consumer Durables
NUVOCO.BO,Nuvoco Vistas Corporation Limited,Basic Materials,543334,Construction Materials
ALKYLAMINE.BO,Alkyl Amines Chemicals Limited,Basic Materials,506767,Chemicals
SHYAMMETL.BO,Shyam Metalics and Energy Limited,Basic Materials,543299,Metals & Mining
CENTURYTEX.BO,Century Textiles and Industries Limited,Basic Materials,500040,Forest Materials
